,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
0,1,1,4.1,775,1,20,1382,800,5004
1,1,0,4.1,787,1,20,592,800,5004
2,1,0,3.8,918,1,16,482,800,5004
3,0,0,3.7,88,1,62,1583,300,5004
4,0,0,3.8,166,4,20,1402,600,5004
5,1,0,3.8,286,4,20,1152,600,5004
6,1,1,4.6,2556,1,22,1464,600,5004
7,1,0,4.0,324,1,13,460,700,5004
8,1,0,4.2,504,1,13,483,550,5004
9,1,0,4.1,402,1,13,330,500,5004
10,1,1,4.2,150,1,13,460,600,5004
11,1,1,4.2,164,1,13,378,500,5004
12,0,0,4.0,424,1,13,381,450,5004
13,1,0,3.8,918,1,16,482,800,5004
14,1,0,3.8,90,1,13,330,650,5004
15,1,0,3.9,133,1,13,439,800,5004
16,1,0,3.8,144,1,13,531,700,5004
17,0,0,3.9,93,1,13,454,300,5004
18,1,0,3.0,62,1,13,442,400,5004
19,1,0,3.7,180,1,13,494,500,5004
20,1,0,3.6,62,1,65,981,600,5004
21,0,0,3.8,148,4,22,1190,550,5004
22,1,0,4.0,219,4,13,453,600,5004
23,1,0,2.8,506,1,62,1328,500,5004
24,1,0,3.9,172,1,29,1461,750,5004
25,1,0,4.2,415,1,62,1186,500,1654
26,1,0,3.9,230,1,29,233,650,5004
27,1,0,4.2,1647,1,20,607,600,5004
28,1,0,4.4,4884,30,20,1398,750,5004
29,1,0,3.8,133,4,62,1632,200,5004
30,1,0,3.9,286,1,62,320,500,5004
31,1,0,3.9,540,1,62,1470,800,5004
32,1,1,4.6,2556,1,22,1464,600,5004
33,0,0,3.8,36,1,29,1310,400,5004
34,1,0,3.6,244,46,62,1192,300,157
35,1,0,4.0,804,46,20,1214,450,4667
36,1,0,3.7,679,63,20,602,850,5004
37,1,0,3.1,245,46,62,1253,300,4641
38,0,0,4.3,345,1,30,952,400,5004
39,1,0,4.0,618,30,20,286,750,5004
40,0,0,4.0,1047,1,62,976,450,5004
41,1,0,3.9,627,1,29,920,450,11
42,1,1,4.2,354,1,20,149,800,5004
43,0,0,4.2,244,1,20,996,800,5004
44,1,1,3.6,163,46,20,912,800,5004
45,0,1,4.0,808,1,20,1192,850,5004
46,1,0,4.1,1720,4,62,1351,400,5004
47,0,0,4.1,868,1,57,702,1200,5004
48,0,0,4.1,520,1,62,246,300,5004
49,0,0,3.6,299,1,62,866,300,5004
50,1,0,4.1,558,4,62,1543,150,526
51,0,0,3.8,39,1,62,1559,350,5004
52,1,0,4.2,146,1,9,213,400,5004
53,1,0,4.4,4401,30,20,284,600,5004
54,0,0,2.6,283,1,20,1152,600,5004
55,0,0,3.3,62,1,4,1585,800,5004
56,0,0,3.7,65,1,62,871,300,5004
57,1,0,3.8,71,4,30,955,400,5004
58,0,0,3.5,52,1,62,1543,300,5004
59,0,0,3.7,130,1,62,1543,200,5004
60,0,0,3.8,45,1,72,173,400,5004
61,1,0,4.1,201,1,62,1593,300,3427
62,1,0,4.0,771,1,20,1585,450,4508
63,0,0,3.0,98,1,4,1192,800,5004
64,1,1,4.1,175,30,20,1587,500,2644
65,1,0,3.8,540,4,20,1349,650,5004
66,1,0,3.8,124,46,62,582,400,5004
67,1,0,4.1,340,1,72,1388,500,5004
68,1,0,3.8,505,1,62,320,450,5004
69,1,0,4.1,438,30,30,789,500,5004
70,1,0,3.7,264,54,20,1208,750,5004
71,1,0,3.7,97,30,62,1382,350,5004
72,1,0,3.6,195,30,20,595,800,5004
73,1,0,4.6,228,30,13,357,400,5004
74,1,1,4.1,364,30,20,1661,1200,5004
75,1,0,3.7,107,4,9,219,150,5004
76,1,0,3.2,167,46,62,1590,300,4140
77,1,0,4.2,64,4,62,1506,500,5004
78,1,0,3.0,290,1,62,1211,450,5004
79,1,0,4.1,233,4,62,1624,200,5004
80,1,0,3.8,115,46,62,861,250,5004
81,1,1,3.9,291,30,13,366,650,2718
82,1,0,4.5,155,30,9,226,300,5004
83,1,0,4.1,305,46,20,961,700,5004
84,1,0,3.9,38,1,30,945,150,5004
85,1,0,3.9,441,1,62,1588,400,5004
86,1,0,4.3,630,30,62,1450,200,5004
87,1,0,3.9,160,46,62,83,300,5004
88,1,0,4.2,287,1,62,1152,350,5004
89,1,0,4.1,402,1,13,330,500,5004
90,1,0,3.8,469,4,20,1204,750,5004
91,1,0,3.3,511,46,20,164,550,5004
92,1,0,3.9,264,1,62,1543,200,5004
93,1,0,3.0,62,1,13,442,400,5004
94,1,0,3.8,693,1,20,1470,750,5004
95,1,0,3.8,242,30,20,1085,650,5004
96,1,0,4.1,163,4,62,682,500,5004
97,1,0,4.2,191,4,62,1632,250,3922
98,1,0,3.5,32,1,62,1482,150,5004
99,1,0,2.5,247,1,20,1152,500,5004
100,1,1,4.1,2339,30,20,1202,1500,5004
101,1,0,4.1,337,30,62,545,300,5004
102,1,0,3.9,135,1,20,1218,800,5004
103,1,0,3.6,172,79,20,1192,700,5004
104,1,0,3.6,105,1,20,1674,700,5004
105,1,0,4.2,504,1,13,483,550,5004
106,1,1,4.3,1129,30,20,1005,1300,5004
107,1,0,4.3,860,1,30,787,500,5004
108,1,0,3.8,412,30,20,76,700,5004
109,1,1,3.9,142,30,20,1089,1000,5004
110,1,0,3.6,143,30,20,1550,750,5004
111,1,0,4.4,181,30,9,229,250,5004
112,1,0,3.8,70,30,62,1447,200,5004
113,1,0,3.8,164,4,62,1472,600,5004
114,1,0,3.6,58,46,62,364,650,5004
115,0,0,3.8,148,4,22,1190,550,5004
116,0,0,3.9,206,4,62,1581,450,5004
117,0,0,3.7,217,4,20,1277,450,5004
118,0,0,3.8,148,4,62,871,150,5004
119,1,0,2.9,177,30,20,1207,700,5004
120,1,0,3.7,136,1,62,1503,600,5004
121,1,0,4.1,185,30,62,1018,200,5004
122,1,0,3.8,155,54,20,1593,400,5004
123,1,0,3.8,42,1,62,1585,300,2861
124,1,0,3.8,286,4,20,1152,600,5004
125,1,0,3.8,160,1,20,1192,700,5004
126,1,0,3.8,59,1,20,1192,750,5004
127,1,0,4.0,89,30,62,1547,200,5004
128,1,0,3.9,40,4,20,1276,600,5004
129,1,0,2.5,35,4,62,815,200,5004
130,1,0,3.6,62,1,65,981,600,5004
131,1,0,4.1,139,30,20,1273,550,5004
132,1,0,3.7,237,1,62,1567,200,3131
133,1,0,3.9,388,1,20,297,650,5004
134,1,0,3.9,128,46,20,1564,500,95
135,1,1,4.1,1875,30,20,1155,1200,5004
136,1,0,3.8,90,1,13,330,650,5004
137,1,0,4.2,179,1,29,1461,600,5004
138,1,0,4.3,275,4,62,1543,100,2671
139,1,0,3.7,323,30,20,607,850,5004
140,1,0,4.3,322,30,20,1543,400,5004
141,1,0,2.6,157,30,13,344,450,5004
142,1,0,3.9,543,4,62,1567,300,2680
143,1,0,3.7,180,1,13,494,500,5004
144,1,0,4.2,444,4,62,1543,100,3858
145,1,0,3.9,134,30,62,1643,400,4141
146,1,0,3.8,577,30,20,1417,900,5004
147,1,0,3.9,144,30,20,1264,550,5004
148,1,0,4.1,787,1,20,592,800,5004
149,1,0,3.6,84,1,62,1585,250,102
